Vote,rank1,rank2,rank3,rank4,rank5,rank6
1650,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1651,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1652,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1653,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1654,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1655,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped
1656,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1657,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped
1658,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped
1659,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped
1660,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,ANTHONY CHARLES,MIKE MCCURDY
1661,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1662,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,JASON TAYLOR
1663,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1664,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR
1665,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1666,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1667,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1668,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1669,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped
1670,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1671,overvote,skipped,skipped,skipped,skipped,skipped
1672,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1673,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1674,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1675,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1676,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1677,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,MIKE MCCURDY,ANTHONY CHARLES
1678,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1679,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1680,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1681,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1682,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,JASON TAYLOR,MIKE MCCURDY
1683,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH
1684,JASON TAYLOR,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1685,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1686,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1687,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1688,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1689,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped,skipped
1690,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1691,MIKE MCCURDY,JASON TAYLOR,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1692,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES
1693,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1694,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1695,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1696,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1697,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1698,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1699,skipped,skipped,skipped,skipped,skipped,skipped
1700,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1701,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1702,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1703,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1704,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,ANTHONY CHARLES
1705,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,ANTHONY CHARLES
1706,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1707,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1708,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,skipped
1709,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1710,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1711,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,JASON TAYLOR
1712,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
1713,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1714,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1715,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1716,overvote,JASON TAYLOR,ANTHONY CHARLES,skipped,MIKE MCCURDY,skipped
1717,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1718,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped
1719,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES
1720,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,MIKE MCCURDY
1721,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,MIKE MCCURDY
1722,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1723,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,ANTHONY CHARLES,MIKE MCCURDY
1724,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1725,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1726,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1727,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,skipped
1728,overvote,skipped,skipped,skipped,skipped,skipped
1729,JASON TAYLOR,JASON TAYLOR,JASON TAYLOR,skipped,skipped,skipped
1730,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI
1731,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1732,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1733,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped
1734,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC2,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,ANTHONY CHARLES,MIKE MCCURDY
UC3,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
UC4,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,JOSIE KOVASH,ANTHONY CHARLES
UC5,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC6,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
UC7,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
UC8,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
UC9,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
UC10,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC11,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC12,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
UC13,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped
UC14,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
UC15,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC16,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC17,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,skipped,MIKE MCCURDY
UC18,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
UC19,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
UC20,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped
UC21,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped
UC22,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES
UC23,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC24,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
UC25,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped
UC26,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC27,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC28,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC29,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
UC30,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,MIKE MCCURDY
UC31,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
UC32,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC33,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,ANTHONY CHARLES,MIKE MCCURDY
UC34,JASON TAYLOR,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY
UC35,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC36,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
UC37,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC38,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped
UC39,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC40,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC41,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC42,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
UC43,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
UC44,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,JOSIE KOVASH
UC45,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC46,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES,skipped,skipped
UC47,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC48,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY
UC49,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
UC50,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped
UC51,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY
UC52,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
UC53,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped
UC54,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped
UC55,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC56,JASON TAYLOR,skipped,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI
UC57,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped
UC58,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC59,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC60,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC61,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,MIKE MCCURDY,JASON TAYLOR
UC62,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,skipped,LUKE WOJCIECHOWSKI
UC63,LUKE WOJCIECHOWSKI,skipped,JASON TAYLOR,ANTHONY CHARLES,skipped,JOSIE KOVASH
UC64,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH
UC65,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC66,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC67,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped
UC68,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,ANTHONY CHARLES
UC69,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES
UC70,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,JASON TAYLOR,ANTHONY CHARLES
UC71,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY
UC72,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
UC73,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped
UC74,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC75,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC76,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC77,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC78,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,skipped
UC79,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,MIKE MCCURDY,ANTHONY CHARLES
UC80,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
UC81,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,skipped
UC82,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped
UC83,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
UC84,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC85,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,skipped,LUKE WOJCIECHOWSKI
UC86,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
UC87,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
UC88,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,ANTHONY CHARLES,JASON TAYLOR
UC89,skipped,skipped,skipped,skipped,skipped,skipped
UC90,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC91,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
UC92,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
UC93,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC94,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped
UC95,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
UC96,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC97,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped
UC98,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC99,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JOSIE KOVASH
UC100,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC101,overvote,ANTHONY CHARLES,skipped,skipped,skipped,skipped
UC102,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
UC103,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
UC104,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC105,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC106,JASON TAYLOR,JOSIE KOVASH,skipped,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY
UC107,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,JOSIE KOVASH
UC108,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped
UC109,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped
UC110,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,ANTHONY CHARLES
UC111,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC112,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC113,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES
UC114,JASON TAYLOR,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
UC115,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
UC116,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC117,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,JOSIE KOVASH,skipped,ANTHONY CHARLES
UC118,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC119,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
UC120,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped
UC121,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,ANTHONY CHARLES
UC122,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES
UC123,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped
UC124,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC125,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
UC126,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
UC127,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped
UC128,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,MIKE MCCURDY,skipped,skipped
UC129,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
UC130,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,MIKE MCCURDY,ANTHONY CHARLES
UC131,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JOSIE KOVASH
UC132,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC133,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,JOSIE KOVASH
UC134,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
UC135,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC136,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
UC137,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
UC138,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC139,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,ANTHONY CHARLES,MIKE MCCURDY
UC140,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
UC141,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY
UC142,JASON TAYLOR,overvote,skipped,skipped,skipped,skipped
UC143,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC144,skipped,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped
UC145,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES
UC146,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC147,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC148,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped
UC149,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
UC150,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
UC151,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI
UC152,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped
UC153,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
UC154,JOSIE KOVASH,overvote,skipped,skipped,skipped,skipped
UC155,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
UC156,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
UC157,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
UC158,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
UC159,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
UC160,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY
UC161,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped
UC162,overvote,skipped,skipped,skipped,skipped,skipped
